drug_name,reaction,n,total_drug,total_reaction,ror,pct_of_drug
Вальпроевая кислота,Кашель,4,59,195,2.675675675675676,6.779661016949152
Агомелатин,Гипогликемия,4,59,195,2.675675675675676,6.779661016949152
Циталопрам,Тахикардия,4,53,218,2.671116762025853,7.547169811320755
Эдоксабан,Метеоризм,5,61,234,2.6635240133418163,8.19672131147541
Эсзопиклон,Гипогликемия,5,73,195,2.6580646397302528,6.8493150684931505
Лоразепам,Анемия,4,62,187,2.6512261580381473,6.451612903225806
Валсартан,Брадикардия,4,52,224,2.649905322953924,7.6923076923076925
Азилсартан,Повышение креатинина,5,66,217,2.64778574844572,7.575757575757576
Апиксабан,Метеоризм,4,50,234,2.640612973199916,8.0
Золпидем,Сухость во рту,3,53,170,2.6272498891680214,5.660377358490567
Амлодипин,Сухость во рту,3,53,170,2.6272498891680214,5.660377358490567
Рилменидин,Бессонница,5,58,250,2.6241125302167996,8.620689655172415
Ламотриджин,Кашель,5,74,195,2.6194036896467074,6.756756756756757
Фенофибрат,Гиперкалиемия,4,56,210,2.61812521618817,7.142857142857142
Амилорид,Тромбоцитопения,4,51,232,2.608061729816884,7.8431372549019605
Фенофибрат,Сонливость,5,56,261,2.605367247676905,8.928571428571429
Клоназепам,Нарушение зрения,4,54,220,2.592801774403768,7.4074074074074066
Розувастатин,Запор,4,55,216,2.5915476870359795,7.2727272727272725
Цефтриаксон,Гипотензия,5,66,222,2.5848612279226244,7.575757575757576
Ламотриджин,Желудочно-кишечные расстройства,6,74,236,2.5793340405655747,8.108108108108109
Ривароксабан,Бессонница,6,70,250,2.578319937857675,8.571428571428571
Индапамид,Бессонница,3,37,250,2.5764016981408284,8.108108108108109
Гидралазин,Головокружение,4,58,206,2.5726809378185527,6.896551724137931
Небиволол,Нарушение вкуса,5,66,223,2.5726219047087495,7.575757575757576
Циталопрам,Диарея,4,53,226,2.5718079673135854,7.547169811320755
Клоназепам,Отёки,4,54,222,2.568253392845005,7.4074074074074066
Трандолаприл,Нарушение зрения,5,67,220,2.567517401392111,7.462686567164178
Никорандил,Тахикардия,4,55,218,2.5665693529771203,7.2727272727272725
Эналаприл,Повышение печёночных ферментов,4,59,203,2.5651290388132493,6.779661016949152
Бупропион,Гипотензия,6,79,222,2.562991940425131,7.59493670886076
Фенитоин,Лейкопения,4,53,227,2.559894244458003,7.547169811320755
Леветирацетам,Головокружение,3,45,206,2.5582020523196998,6.666666666666667
Фуросемид,Изжога,5,67,221,2.5552517321016164,7.462686567164178
Топирамат,Тошнота,7,92,222,2.5491513005250948,7.608695652173914
Ирбесартан,Аллергические реакции,3,47,198,2.5456191269864075,6.382978723404255
Рамиприл,Тошнота,5,67,222,2.5430988505747125,7.462686567164178
Метопролол,Гипогликемия,4,62,195,2.537256477204258,6.451612903225806
Пароксетин,Запор,5,69,216,2.5357633734674803,7.246376811594203
Транилципромин,Сыпь,3,38,247,2.535355280970074,7.894736842105263
Фуросемид,Нарушение вкуса,5,67,223,2.5310572082379865,7.462686567164178
Бисопролол,Тахикардия,3,43,218,2.5310360631319644,6.976744186046512
Телмисартан,Повышение креатинина,5,69,217,2.5234290925672593,7.246376811594203
Варфарин,Гиперкалиемия,4,58,210,2.521247528711376,6.896551724137931
Гепарин,Брадикардия,5,67,224,2.519125284738041,7.462686567164178
Фондапаринукс,Усталость,6,76,235,2.5166798003677435,7.894736842105263
Лизиноприл,Головокружение,5,73,206,2.5085761895274494,6.8493150684931505
Теразозин,Гиперкалиемия,3,45,210,2.5072997873848335,6.666666666666667
Омепразол,Запор,5,70,216,2.4966524100842764,7.142857142857142
Фенофибрат,Нарушение зрения,4,56,220,2.493236555592214,7.142857142857142
Лозартан,Сухость во рту,5,89,170,2.483794847959384,5.617977528089887
Изосорбида мононитрат,Бессонница,5,61,250,2.4835895679757765,8.19672131147541
Клопидогрел,Головная боль,4,55,225,2.4826974073505883,7.2727272727272725
Розувастатин,Головная боль,4,55,225,2.4826974073505883,7.2727272727272725
Каптоприл,Повышение креатинина,3,44,217,2.4815626140927347,6.8181818181818175
Дабигатран,Повышение печёночных ферментов,3,47,203,2.4801759645829247,6.382978723404255
Тамсулозин,Метеоризм,4,53,234,2.4793926247288507,7.547169811320755
Лозартан,Желудочно-кишечные расстройства,7,89,236,2.4763319469201823,7.865168539325842
Вальпроевая кислота,Гиперкалиемия,4,59,210,2.47542700085073,6.779661016949152
Ривароксабан,Тахикардия,5,70,218,2.4724779662834977,7.142857142857142
Вортиоксетин,Тахикардия,5,70,218,2.4724779662834977,7.142857142857142
Эноксапарин,Тошнота,4,56,222,2.4696305982347173,7.142857142857142
Тамсулозин,Усталость,4,53,235,2.4682898095425094,7.547169811320755
Золпидем,Усталость,4,53,235,2.4682898095425094,7.547169811320755
Телмисартан,Гипотензия,5,69,222,2.463458968190323,7.246376811594203
Рамелтеон,Шум в ушах,4,59,211,2.46310647997395,6.779661016949152
Клопидогрел,Лейкопения,4,55,227,2.459698963966899,7.2727272727272725
Диазепам,Брадикардия,4,56,224,2.44645286686103,7.142857142857142
Цилостазол,Нарушение зрения,3,44,220,2.4461708904583848,6.8181818181818175
Доксепин,Головокружение,3,47,206,2.442453689644701,6.382978723404255
Азитромицин,Сыпь,4,51,247,2.441564897870961,7.8431372549019605
Верапамил,Головокружение,4,61,206,2.4372946859903384,6.557377049180328
Эноксапарин,Головная боль,4,56,225,2.435020960980329,7.142857142857142
Фенофибрат,Головная боль,4,56,225,2.435020960980329,7.142857142857142
Леветирацетам,Миалгия,3,45,216,2.434522661523626,6.666666666666667
Пропранолол,Сонливость,7,82,261,2.433091765440612,8.536585365853659
Цилостазол,Тошнота,3,44,222,2.4231138677717703,6.8181818181818175
Теразозин,Повышение креатинина,3,45,217,2.422788975730152,6.666666666666667
Тразодон,Повышение креатинина,3,45,217,2.422788975730152,6.666666666666667
Эзетимиб,Миалгия,5,72,216,2.421907013396375,6.944444444444445
Аторвастатин,Аллергические реакции,4,64,198,2.4136268032038073,6.25
Каптоприл,Нарушение вкуса,3,44,223,2.4117422069229297,6.8181818181818175
Периндоприл,Нарушение зрения,5,71,220,2.4115451040594524,7.042253521126761
Амилорид,Бессонница,4,51,250,2.4106971282160776,7.8431372549019605
Рамиприл,Метеоризм,5,67,234,2.4055250544662306,7.462686567164178
Никорандил,Тромбоцитопения,4,55,232,2.4039642242569736,7.2727272727272725
Флувоксамин,Миалгия,4,59,216,2.4032432432432436,6.779661016949152
Рамелтеон,Запор,4,59,216,2.4032432432432436,6.779661016949152
Бупропион,Аллергические реакции,5,79,198,2.402667221615247,6.329113924050633
Варфарин,Нарушение зрения,4,58,220,2.4009788757760027,6.896551724137931
Симвастатин,Головокружение,4,62,206,2.3952516619183286,6.451612903225806
Рамелтеон,Повышение креатинина,4,59,217,2.3916070637382116,6.779661016949152
Вальпроевая кислота,Повышение креатинина,4,59,217,2.3916070637382116,6.779661016949152
Изосорбида мононитрат,Гиперкалиемия,4,61,210,2.3885672176018526,6.557377049180328
Лизиноприл,Запор,5,73,216,2.3861710755638383,6.8493150684931505
Эпросартан,Желудочно-кишечные расстройства,5,67,236,2.383982721382289,7.462686567164178
Доксепин,Шум в ушах,3,47,211,2.3819955271737667,6.382978723404255
Ирбесартан,Шум в ушах,3,47,211,2.3819955271737667,6.382978723404255
Рамелтеон,Тахикардия,4,59,218,2.3800793800793802,6.779661016949152
Рилменидин,Тошнота,4,58,222,2.378246173871056,6.896551724137931
Атенолол,Лейкопения,7,96,227,2.3765819176832745,7.291666666666667
Ибупрофен,Брадикардия,6,84,224,2.375125712370097,7.142857142857142
Карбамазепин,Повышение креатинина,5,73,217,2.37456419063976,6.8493150684931505
Верапамил,Сонливость,5,61,261,2.372906208490745,8.19672131147541
Правастатин,Брадикардия,5,71,224,2.3660917670029282,7.042253521126761
Кандесартан,Нарушение вкуса,6,85,223,2.3560326754861562,7.0588235294117645
Гидрохлоротиазид,Нарушение вкуса,3,45,223,2.3546218487394954,6.666666666666667
Вальпроевая кислота,Сухость во рту,3,59,170,2.3460309074098533,5.084745762711865
Залеплон,Метеоризм,4,56,234,2.336597458940192,7.142857142857142
Небиволол,Аллергические реакции,4,66,198,2.335650385604113,6.0606060606060606
Фуросемид,Гипогликемия,4,67,195,2.3356222117143974,5.970149253731343
Рилменидин,Диарея,4,58,226,2.334006803422328,6.896551724137931
Эзетимиб,Брадикардия,5,72,224,2.3306673416012824,6.944444444444445
Карбамазепин,Изжога,5,73,221,2.3292088804976316,6.8493150684931505
Пропранолол,Метеоризм,6,82,234,2.3275839876431976,7.317073170731707
Дипиридамол,Запор,3,47,216,2.3243691287529935,6.382978723404255
Карбамазепин,Гипотензия,5,73,222,2.318130715664066,6.8493150684931505
Карбамазепин,Отёки,5,73,222,2.318130715664066,6.8493150684931505
Этосуксимид,Миалгия,5,75,216,2.317740556310045,6.666666666666667
Аторвастатин,Головокружение,4,64,206,2.3153351698806244,6.25
Ирбесартан,Повышение креатинина,3,47,217,2.3131662345145494,6.382978723404255
Эналаприл,Брадикардия,4,59,224,2.313109027394742,6.779661016949152
Золпидем,Бессонница,4,53,250,2.31255762493085,7.547169811320755
Тамсулозин,Бессонница,4,53,250,2.31255762493085,7.547169811320755
Пентоксифиллин,Лейкопения,3,45,227,2.311201362504913,6.666666666666667
Сертралин,Гипогликемия,2,37,195,2.3072023874513232,5.405405405405405
Азитромицин,Сонливость,4,51,261,2.3036688809402146,7.8431372549019605
Метформин,Головная боль,4,59,225,2.3023000427063636,6.779661016949152
Моксонидин,Гипогликемия,4,68,195,2.2990466937883296,5.88235294117647
Дулоксетин,Тошнота,4,60,222,2.2933314432676535,6.666666666666667
Каптоприл,Метеоризм,3,44,234,2.293137994743553,6.8181818181818175
Метформин,Диарея,4,59,226,2.291588217430914,6.779661016949152
Флувоксамин,Диарея,4,59,226,2.291588217430914,6.779661016949152
Агомелатин,Диарея,4,59,226,2.291588217430914,6.779661016949152
Никорандил,Анемия,3,55,187,2.2874435411020775,5.454545454545454
Апиксабан,Головокружение,3,50,206,2.287107202896676,6.0
Карбамазепин,Головная боль,5,73,225,2.2854991144876444,6.8493150684931505
Ривароксабан,Усталость,5,70,235,2.2839330363795933,7.142857142857142
Вортиоксетин,Усталость,5,70,235,2.2839330363795933,7.142857142857142
Каптоприл,Усталость,3,44,235,2.282912294338645,6.8181818181818175
Альфузозин,Анемия,2,39,187,2.280503144654088,5.128205128205128
Доксазозин,Миалгия,4,62,216,2.2789140271493213,6.451612903225806
Карведилол,Запор,4,62,216,2.2789140271493213,6.451612903225806
Циталопрам,Гипогликемия,3,53,195,2.277047704770477,5.660377358490567
Клонидин,Повышение печёночных ферментов,3,51,203,2.2741856698460032,5.88235294117647
Амилорид,Повышение печёночных ферментов,3,51,203,2.2741856698460032,5.88235294117647
Молсидомин,Нарушение вкуса,5,74,223,2.273595311393905,6.756756756756757
Эпросартан,Сыпь,5,67,247,2.2718515463917526,7.462686567164178
Ирбесартан,Изжога,3,47,221,2.269380094104337,6.382978723404255
Лоразепам,Повышение креатинина,4,62,217,2.2678796613222847,6.451612903225806
Пароксетин,Гипогликемия,4,69,195,2.263587985569928,5.797101449275362
Эсциталопрам,Тромбоцитопения,3,45,232,2.259054209919262,6.666666666666667
Бупропион,Гиперкалиемия,5,79,210,2.25805450774833,6.329113924050633
Ибупрофен,Усталость,6,84,235,2.25731651471629,7.142857142857142
Эдоксабан,Тошнота,4,61,222,2.253089244851259,6.557377049180328
Верапамил,Тошнота,4,61,222,2.253089244851259,6.557377049180328
Гидралазин,Метеоризм,4,58,234,2.2501343310314637,6.896551724137931
Варфарин,Метеоризм,4,58,234,2.2501343310314637,6.896551724137931
Ибупрофен,Аллергические реакции,5,84,198,2.249768416947004,5.952380952380952
Дабигатран,Нарушение вкуса,3,47,223,2.248082753700731,6.382978723404255
Атенолол,Головокружение,6,96,206,2.2472961243300587,6.25
Залеплон,Анемия,3,56,187,2.244333004077704,5.357142857142857
Венлафаксин,Анемия,3,56,187,2.244333004077704,5.357142857142857
Рамиприл,Бессонница,5,67,250,2.2430142566191447,7.462686567164178
Эпросартан,Бессонница,5,67,250,2.2430142566191447,7.462686567164178
Цефтриаксон,Головокружение,4,66,206,2.2405333333333335,6.0606060606060606
Небиволол,Головокружение,4,66,206,2.2405333333333335,6.0606060606060606
Правастатин,Желудочно-кишечные расстройства,5,71,236,2.2391562058493966,7.042253521126761
Трандолаприл,Повышение печёночных ферментов,4,67,203,2.2391214256112724,5.970149253731343
Доксазозин,Нарушение зрения,4,62,220,2.2353881684135724,6.451612903225806
Флуоксетин,Гипогликемия,5,86,195,2.2294736164114455,5.813953488372093
Эналаприл,Тромбоцитопения,4,59,232,2.2292861789579512,6.779661016949152
Рамелтеон,Тромбоцитопения,4,59,232,2.2292861789579512,6.779661016949152
Леветирацетам,Усталость,3,45,235,2.228842504743833,6.666666666666667
Пентоксифиллин,Усталость,3,45,235,2.228842504743833,6.666666666666667
Торасемид,Анемия,4,73,187,2.227726265853802,5.47945205479452
Дексаметазон,Головная боль,3,47,225,2.2271682868324705,6.382978723404255
Эплеренон,Бессонница,4,55,250,2.222040607337679,7.2727272727272725
Эдоксабан,Головная боль,4,61,225,2.2215133968004714,6.557377049180328
Этосуксимид,Головная боль,5,75,225,2.2199546485260773,6.666666666666667
Цилостазол,Сухость во рту,2,44,170,2.2194100192005584,4.545454545454546
Леветирацетам,Желудочно-кишечные расстройства,3,45,236,2.2189444514422467,6.666666666666667
Ирбесартан,Диарея,3,47,226,2.2168514189477917,6.382978723404255
Дабигатран,Диарея,3,47,226,2.2168514189477917,6.382978723404255
Доксазозин,Гипотензия,4,62,222,2.214222848090125,6.451612903225806
Симвастатин,Отёки,4,62,222,2.214222848090125,6.451612903225806
Сертралин,Повышение печёночных ферментов,2,37,203,2.2128053681892847,5.405405405405405
Метилдопа,Повышение печёночных ферментов,2,37,203,2.2128053681892847,5.405405405405405
Фуросемид,Головокружение,4,67,206,2.2048993875765532,5.970149253731343
Метопролол,Нарушение вкуса,4,62,223,2.2037848256527073,6.451612903225806
Эдоксабан,Лейкопения,4,61,227,2.200933761307266,6.557377049180328
Агомелатин,Усталость,4,59,235,2.199346214465005,6.779661016949152
Периндоприл,Кашель,4,71,195,2.195822454308094,5.633802816901409
Топирамат,Нарушение зрения,6,92,220,2.1942546855841654,6.521739130434782
Флуоксетин,Аллергические реакции,5,86,198,2.1938618601480635,5.813953488372093
Метопролол,Брадикардия,4,62,224,2.193441479155765,6.451612903225806
Симвастатин,Брадикардия,4,62,224,2.193441479155765,6.451612903225806
Клопидогрел,Кашель,3,55,195,2.1896103896103893,5.454545454545454
Метформин,Желудочно-кишечные расстройства,4,59,236,2.189537925021796,6.779661016949152
Дулоксетин,Тромбоцитопения,4,60,232,2.1894812261575103,6.666666666666667
Миноксидил,Тромбоцитопения,4,60,232,2.1894812261575103,6.666666666666667
Цефтриаксон,Шум в ушах,4,66,211,2.1848096385542166,6.0606060606060606
Альфузозин,Гипогликемия,2,39,195,2.1834625322997416,5.128205128205128
Амлодипин,Повышение печёночных ферментов,3,53,203,2.1834275696896377,5.660377358490567
Индапамид,Головокружение,2,37,206,2.179310582320328,5.405405405405405
Симвастатин,Диарея,4,62,226,2.1730337078651685,6.451612903225806
Телмисартан,Повышение печёночных ферментов,4,69,203,2.170062560982609,5.797101449275362
Каптоприл,Сыпь,3,44,247,2.166728262744228,6.8181818181818175
Эзетимиб,Кашель,4,72,195,2.163423605420137,5.555555555555555
Варфарин,Анемия,3,58,187,2.1627725286261867,5.172413793103448
Рилменидин,Анемия,3,58,187,2.1627725286261867,5.172413793103448
Дабигатран,Тромбоцитопения,3,47,232,2.1568382658931236,6.382978723404255
Циталопрам,Головокружение,3,53,206,2.15021772447515,5.660377358490567
Лозартан,Тромбоцитопения,6,89,232,2.1495684128431876,6.741573033707865
Фенофибрат,Гипогликемия,3,56,195,2.148343245539507,5.357142857142857
Залеплон,Кашель,3,56,195,2.148343245539507,5.357142857142857
Валсартан,Шум в ушах,3,52,211,2.139694305161931,5.769230769230769
Ривароксабан,Повышение печёночных ферментов,4,70,203,2.1370908474193,5.714285714285714
Индапамид,Гиперкалиемия,2,37,210,2.136150234741784,5.405405405405405
Торасемид,Гипогликемия,4,73,195,2.1319570975073727,5.47945205479452
Миртазапин,Миалгия,3,51,216,2.1313165455467296,5.88235294117647
Дексаметазон,Усталость,3,47,235,2.127993234263622,6.382978723404255
Дипиридамол,Усталость,3,47,235,2.127993234263622,6.382978723404255
Метилдопа,Шум в ушах,2,37,211,2.125617667820767,5.405405405405405
Апиксабан,Изжога,3,50,221,2.125039142478622,6.0
Лозартан,Усталость,6,89,235,2.120451906644228,6.741573033707865
Эсциталопрам,Сыпь,3,45,247,2.115409599422591,6.666666666666667
Теразозин,Сыпь,3,45,247,2.115409599422591,6.666666666666667
Этосуксимид,Желудочно-кишечные расстройства,5,75,236,2.1107639048450593,6.666666666666667
Фенитоин,Гиперкалиемия,3,53,210,2.107431707026125,5.660377358490567
Амлодипин,Гиперкалиемия,3,53,210,2.107431707026125,5.660377358490567
Пропранолол,Запор,5,82,216,2.1060474338442767,6.097560975609756
Золпидем,Шум в ушах,3,53,211,2.096991713559845,5.660377358490567
Телмисартан,Гиперкалиемия,4,69,210,2.094172227048408,5.797101449275362
Леветирацетам,Бессонница,3,45,250,2.088770053475936,6.666666666666667
Трандолаприл,Повышение креатинина,4,67,217,2.0876468310313667,5.970149253731343
Эналаприл,Сыпь,4,59,247,2.086963760475054,6.779661016949152
Доксазозин,Усталость,4,62,235,2.0855623857783687,6.451612903225806
Цефтриаксон,Сухость во рту,3,66,170,2.085109883652603,4.545454545454546
Моклобемид,Сухость во рту,3,66,170,2.085109883652603,4.545454545454546
Небиволол,Сухость во рту,3,66,170,2.085109883652603,4.545454545454546
Залеплон,Сонливость,4,56,261,2.082607489597781,7.142857142857142
Сертралин,Миалгия,2,37,216,2.0744279194983424,5.405405405405405
Дабигатран,Сухость во рту,2,47,170,2.0720970424234517,4.25531914893617
Ирбесартан,Сухость во рту,2,47,170,2.0720970424234517,4.25531914893617
Дилтиазем,Отёки,3,51,222,2.0710847051640324,5.88235294117647
Азитромицин,Тошнота,3,51,222,2.0710847051640324,5.88235294117647
Эсзопиклон,Сыпь,5,73,247,2.0708706448942733,6.8493150684931505
Варфарин,Гипогликемия,3,58,195,2.07027027027027,5.172413793103448
Варфарин,Кашель,3,58,195,2.07027027027027,5.172413793103448
Никорандил,Головокружение,3,55,206,2.0676494676494674,5.454545454545454
Нифедипин,Лейкопения,3,50,227,2.0662759348259288,6.0
Моксонидин,Запор,4,68,216,2.0649521203830368,5.88235294117647
Альфузозин,Головокружение,2,39,206,2.0624286878565607,5.128205128205128
Цефтриаксон,Нарушение вкуса,4,66,223,2.0614305239179953,6.0606060606060606
Моклобемид,Нарушение вкуса,4,66,223,2.0614305239179953,6.0606060606060606
Клонидин,Нарушение вкуса,3,51,223,2.0613647520864014,5.88235294117647
Залеплон,Повышение печёночных ферментов,3,56,203,2.0600135176078496,5.357142857142857
Венлафаксин,Повышение печёночных ферментов,3,56,203,2.0600135176078496,5.357142857142857
Пропранолол,Изжога,5,82,221,2.055769947105714,6.097560975609756
Моксонидин,Повышение креатинина,4,68,217,2.0549534339088282,5.88235294117647
Дилтиазем,Брадикардия,3,51,224,2.0517325638221124,5.88235294117647
Флуоксетин,Шум в ушах,5,86,211,2.0515010621072802,5.813953488372093
Валсартан,Нарушение зрения,3,52,220,2.0482294206432137,5.769230769230769
Золпидем,Миалгия,3,53,216,2.046258724233079,5.660377358490567
Циталопрам,Запор,3,53,216,2.046258724233079,5.660377358490567
Карбамазепин,Повышение печёночных ферментов,4,73,203,2.0438686644669226,5.47945205479452
Азилсартан,Головная боль,4,66,225,2.0421670428893903,6.0606060606060606
Этосуксимид,Аллергические реакции,4,75,198,2.038740180128355,5.333333333333334
Гепарин,Гипотензия,4,67,222,2.0382529414944415,5.970149253731343
Эпросартан,Отёки,4,67,222,2.0382529414944415,5.970149253731343
Агомелатин,Кашель,3,59,195,2.033306516492357,5.084745762711865
Эналаприл,Гипогликемия,3,59,195,2.033306516492357,5.084745762711865
Телмисартан,Запор,4,69,216,2.033102828917827,5.797101449275362
Валсартан,Отёки,3,52,222,2.0289224822254437,5.769230769230769
Фенитоин,Тахикардия,3,53,218,2.0266247042337646,5.660377358490567
Сертралин,Изжога,2,37,221,2.0255702781609934,5.405405405405405
Индапамид,Изжога,2,37,221,2.0255702781609934,5.405405405405405
Клонидин,Лейкопения,3,51,227,2.02335085987188,5.88235294117647
Небиволол,Лейкопения,4,66,227,2.0232483221476505,6.0606060606060606
Дипиридамол,Сыпь,3,47,247,2.019691643114818,6.382978723404255
Ирбесартан,Сыпь,3,47,247,2.019691643114818,6.382978723404255
Рамиприл,Брадикардия,4,67,224,2.019122609673791,5.970149253731343
Транилципромин,Миалгия,2,38,216,2.017274962480442,5.263157894736842
Сертралин,Гипотензия,2,37,222,2.016064641819169,5.405405405405405
Аторвастатин,Усталость,4,64,235,2.0159755814576155,6.25
Ламотриджин,Повышение печёночных ферментов,4,74,203,2.0145576707726764,5.405405405405405
Ацетилсалициловая кислота,Тахикардия,4,69,218,2.013505578391075,5.797101449275362
Ибупрофен,Нарушение зрения,5,84,220,2.013030979585285,5.952380952380952
Эсзопиклон,Головокружение,4,73,206,2.0126298960831335,5.47945205479452
Рамиприл,Головная боль,4,67,225,2.0096869945432894,5.970149253731343
Трандолаприл,Головная боль,4,67,225,2.0096869945432894,5.970149253731343
Аторвастатин,Желудочно-кишечные расстройства,4,64,236,2.006984804052253,6.25
Сертралин,Нарушение вкуса,2,37,223,2.00664483515086,5.405405405405405
Клоназепам,Запор,3,54,216,2.006207225847525,5.555555555555555
Вортиоксетин,Запор,4,70,216,2.0022114108801414,5.714285714285714
Ривароксабан,Запор,4,70,216,2.0022114108801414,5.714285714285714
Метформин,Аллергические реакции,3,59,198,2.0011542901115815,5.084745762711865
Спиронолактон,Тахикардия,2,38,218,1.9980068967699072,5.263157894736842
Тамсулозин,Изжога,3,53,221,1.9978476108480414,5.660377358490567
Леветирацетам,Сонливость,3,45,261,1.9963818409375353,6.666666666666667
Эсциталопрам,Сонливость,3,45,261,1.9963818409375353,6.666666666666667
Пентоксифиллин,Сонливость,3,45,261,1.9963818409375353,6.666666666666667
Тразодон,Сонливость,3,45,261,1.9963818409375353,6.666666666666667
Эпросартан,Лейкопения,4,67,227,1.9910690693864608,5.970149253731343
Фенитоин,Отёки,3,53,222,1.9884300502943233,5.660377358490567
Циталопрам,Тошнота,3,53,222,1.9884300502943233,5.660377358490567
Фенитоин,Тошнота,3,53,222,1.9884300502943233,5.660377358490567
Тамсулозин,Отёки,3,53,222,1.9884300502943233,5.660377358490567
Диазепам,Гиперкалиемия,3,56,210,1.9883121270127235,5.357142857142857
Венлафаксин,Гиперкалиемия,3,56,210,1.9883121270127235,5.357142857142857
Эдоксабан,Бессонница,4,61,250,1.9882705705970545,6.557377049180328
Лозартан,Гиперкалиемия,5,89,210,1.9876617860896355,5.617977528089887
Клоназепам,Тахикардия,3,54,218,1.9869574031941974,5.555555555555555
Этосуксимид,Повышение печёночных ферментов,4,75,203,1.9860665650139337,5.333333333333334
Омепразол,Тахикардия,4,70,218,1.9829118250170883,5.714285714285714
Эзетимиб,Сонливость,5,72,261,1.9827160493827163,6.944444444444445
Тамсулозин,Нарушение вкуса,3,53,223,1.9790979097909793,5.660377358490567
Метопролол,Сыпь,4,62,247,1.9789922603064287,6.451612903225806
Телмисартан,Тошнота,4,69,222,1.975387356542701,5.797101449275362
Эсзопиклон,Гиперкалиемия,4,73,210,1.9723901266396087,5.47945205479452
Бисопролол,Кашель,2,43,195,1.9717630210765542,4.651162790697675
Циталопрам,Брадикардия,3,53,224,1.969850032407304,5.660377358490567
Транилципромин,Изжога,2,38,221,1.9697631603582235,5.263157894736842
Метформин,Сонливость,4,59,261,1.969089477827342,6.779661016949152
Кандесартан,Отёки,5,85,222,1.9688013136289,5.88235294117647
Розувастатин,Миалгия,3,55,216,1.9676814988290399,5.454545454545454
Эплеренон,Миалгия,3,55,216,1.9676814988290399,5.454545454545454
Миноксидил,Аллергические реакции,3,60,198,1.966040253530524,5.0
Тразодон,Анемия,2,45,187,1.964092077950243,4.444444444444445
Изосорбида мононитрат,Гипогликемия,3,61,195,1.9631701631701632,4.918032786885246
Верапамил,Гипогликемия,3,61,195,1.9631701631701632,4.918032786885246
Верапамил,Кашель,3,61,195,1.9631701631701632,4.918032786885246
Вортиоксетин,Сухость во рту,3,70,170,1.960309563294638,4.285714285714286
Моксонидин,Лейкопения,4,68,227,1.9598876229124396,5.88235294117647
Эплеренон,Повышение креатинина,3,55,217,1.9581973581973582,5.454545454545454
Вортиоксетин,Изжога,4,70,221,1.954627949183303,5.714285714285714
Симвастатин,Бессонница,4,62,250,1.9539709783117492,6.451612903225806
Альфузозин,Повышение креатинина,2,39,217,1.953750966744006,5.128205128205128
Парацетамол,Изжога,5,86,221,1.9536264327916233,5.813953488372093
Пропранолол,Тромбоцитопения,5,82,232,1.9529386742289967,6.097560975609756
Цефтриаксон,Усталость,4,66,235,1.9508423326133908,6.0606060606060606
Розувастатин,Тахикардия,3,55,218,1.948801237432328,5.454545454545454
Альфузозин,Тахикардия,2,39,218,1.9444187836797537,5.128205128205128
Миртазапин,Желудочно-кишечные расстройства,3,51,236,1.9425815139407048,5.88235294117647
Небиволол,Желудочно-кишечные расстройства,4,66,236,1.942141935483871,6.0606060606060606
Валсартан,Тромбоцитопения,3,52,232,1.9374353557360093,5.769230769230769
Флуоксетин,Нарушение вкуса,5,86,223,1.9351265600651402,5.813953488372093
Дулоксетин,Сонливость,4,60,261,1.9339290317037545,6.666666666666667
Верапамил,Аллергические реакции,3,61,198,1.9321266968325792,4.918032786885246
Лоразепам,Кашель,3,62,195,1.92987012987013,4.838709677419355
Топирамат,Сухость во рту,4,92,170,1.9274698427240802,4.3478260869565215
Периндоприл,Изжога,4,71,221,1.9253639846743293,5.633802816901409
Каптоприл,Кашель,2,44,195,1.9250645994832043,4.545454545454546
Эзетимиб,Тахикардия,4,72,218,1.9244040630901946,5.555555555555555
Транилципромин,Диарея,2,38,226,1.9243676968606034,5.263157894736842
Клоназепам,Головная боль,3,54,225,1.92230827969892,5.555555555555555
Никорандил,Изжога,3,55,221,1.9211289092295958,5.454545454545454
Клопидогрел,Изжога,3,55,221,1.9211289092295958,5.454545454545454
Флуоксетин,Головная боль,5,86,225,1.9169622859368696,5.813953488372093
Периндоприл,Гипотензия,4,71,222,1.9162471395881007,5.633802816901409
Моксонидин,Тромбоцитопения,4,68,232,1.9154750394381965,5.88235294117647
Клопидогрел,Отёки,3,55,222,1.9120728929384965,5.454545454545454
Никорандил,Тошнота,3,55,222,1.9120728929384965,5.454545454545454
Топирамат,Шум в ушах,5,92,211,1.9090003459010723,5.434782608695652
Этосуксимид,Шум в ушах,4,75,211,1.9070688347796783,5.333333333333334
Атенолол,Повышение печёночных ферментов,5,96,203,1.9003317228943852,5.208333333333334
Сертралин,Усталость,2,37,235,1.8999004735048408,5.405405405405405
Индапамид,Усталость,2,37,235,1.8999004735048408,5.405405405405405
Парацетамол,Лейкопения,5,86,227,1.8991245605569722,5.813953488372093
Циталопрам,Тромбоцитопения,3,53,232,1.8987683082033697,5.660377358490567
Эсзопиклон,Тахикардия,4,73,218,1.896412939578407,5.47945205479452
Розувастатин,Брадикардия,3,55,224,1.8942061700526711,5.454545454545454
Альфузозин,Брадикардия,2,39,224,1.8901872659176029,5.128205128205128
Эзетимиб,Отёки,4,72,222,1.8879720723579816,5.555555555555555
Небиволол,Анемия,3,66,187,1.887907304269893,4.545454545454546
